D012873|C16.320.850	C17.800.827
D009666|A01.456.505.733	A04.531	A09.531
D003228|A09.371.060.200	A09.371.337.168
D014621|A05.360.319.779
D009333|A01.598
D010502|A01.719
D014521|A05.360.444.492.726	A05.810.876
D002386|C11.510.245
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D010502|A01.719
D007644|C16.320.850.190	C17.800.428.275	C17.800.827.190
D017563|C08.381.483
D004194|C23.550.288
D009092|A10.615.550
D007644|C16.320.850.190	C17.800.428.275	C17.800.827.190
D009759|C10.292.562.675	C11.590.400
D007634|C11.204.564
D014621|A05.360.319.779
D014551|A05.810
D014617|A11.284.430.214.190.875.190.920
D002479|A11.284.420
D009092|A10.615.550
D004847|A11.436
D017629|A11.284.149.165.420.471
D011660|C14.280.832
D003896|A11.284.149.165.420.297
D017629|A11.284.149.165.420.471
D002178|C01.539.800.200.100	C01.703.160.165	C01.703.295.165	C17.800.838.208.165
D002178|C01.539.800.200.100	C01.703.160.165	C01.703.295.165	C17.800.838.208.165
D007644|C16.320.850.190	C17.800.428.275	C17.800.827.190
D007637|C11.187.183.394	C11.204.564.585
D003967|C23.888.821.214
D001402|A11.063.438	A11.118.637.555.567.562	A15.145.229.637.555.567.562	A15.382.032.438	A15.382.490.555.567.562
D000013|C16.131
D002386|C11.510.245
D003315|A09.371.060.217
D002177|C01.703.160
D002181|C01.703.160.190	C13.351.500.894.906.820.500	C13.351.500.944.902.737.500
D001424|C01.252
D004194|C23.550.288
D007637|C11.187.183.394	C11.204.564.585
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D003643|C23.550.260
D018410|C01.252.620	C08.381.677.540	C08.730.610.540
D000302|A06.300.071.140
D014621|A05.360.319.779
D002479|A11.284.420
D005123|A01.456.505.420	A09.371
D013666|A12.200.882
D009759|C10.292.562.675	C11.590.400
D016510|C11.204.290
D065306|C10.900.300.284.250.124	C11.204.284	C11.297.374	C26.915.300.425.250.124
D019573|A09.371.060.217.325	A10.272.510
D015354|C10.597.751.941.905	C11.966.905	C23.888.592.763.941.848
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D013666|A12.200.882
D004948|C10.292.562.887.300	C11.590.810.400
D007637|C11.187.183.394	C11.204.564.585
D001808|A07.015
D003315|A09.371.060.217
D002386|C11.510.245
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D003228|A09.371.060.200	A09.371.337.168
D003315|A09.371.060.217
D003896|A11.284.149.165.420.297
D003593|A11.284.430.214
D014617|A11.284.430.214.190.875.190.920
D002467|A11.284.430.106	A11.284.430.214.190.875.117
D004194|C23.550.288
D003896|A11.284.149.165.420.297
D021362|A02.835.232.781.324.502.660	A14.521.658.660	A14.549.617.660
D001762|C11.338.133
D003231|C11.187.183
D003318|C11.204.299
D005138|A01.456.505.420.338	A17.360.296
D007634|C11.204.564
D014059|A03.556.500.885	A14.549.885
D011565|C17.800.859.675
D003593|A11.284.430.214
D014617|A11.284.430.214.190.875.190.920
D005123|A01.456.505.420	A09.371
D003967|C23.888.821.214
D011565|C17.800.859.675
D003593|A11.284.430.214
D014617|A11.284.430.214.190.875.190.920
D000013|C16.131
D017629|A11.284.149.165.420.471
D003896|A11.284.149.165.420.297
D003599|A11.284.430.214.190.750
D004194|C23.550.288
D000505|C17.800.329.937.122	C23.300.035
D007637|C11.187.183.394	C11.204.564.585
D004940|C06.405.117.544
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D010031|C09.218.705
D020795|C10.597.751.941.661	C11.966.741	C23.888.592.763.941.661
D013666|A12.200.882
D002386|C11.510.245
D007637|C11.187.183.394	C11.204.564.585
D007634|C11.204.564
D003318|C11.204.299
D016510|C11.204.290
D015354|C10.597.751.941.905	C11.966.905	C23.888.592.763.941.848
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D009759|C10.292.562.675	C11.590.400
D004948|C10.292.562.887.300	C11.590.810.400
D011660|C14.280.832
D011014|C08.381.677	C08.730.610
D008171|C08.381
D011660|C14.280.832
D003967|C23.888.821.214
D008551|A12.459.764	C06.405.227.600	C23.550.414.788.600
D006417|C12.777.934.442	C13.351.968.934.442	C23.550.414.849
D006417|C12.777.934.442	C13.351.968.934.442	C23.550.414.849
D009666|A01.456.505.733	A04.531	A09.531
D001003|A03.556.124.526.070	A03.556.249.249.070
D003228|A09.371.060.200	A09.371.337.168
D007644|C16.320.850.190	C17.800.428.275	C17.800.827.190
D004847|A11.436
D002479|A11.284.420
D009262|A17.600
D004802|C15.378.553.231
