D003920|C18.452.394.750	C19.246
D003924|C18.452.394.750.149	C19.246.300
D018149|C18.452.394.952.500
D003924|C18.452.394.750.149	C19.246.300
D004194|C23.550.288
D005483|C23.888.885.344
D012164|C11.768
D005483|C23.888.885.344
D005483|C23.888.885.344
D005483|C23.888.885.344
D005483|C23.888.885.344
D005483|C23.888.885.344
D005483|C23.888.885.344
D003930|C11.768.257	C14.907.320.382	C19.246.099.500.382
