D002875|A11.284.187	A11.284.430.106.279.345.190
D003924|C18.452.394.750.149	C19.246.300
D004194|C23.550.288
D006943|C18.452.394.952
D016640|C13.703.170	C18.452.394.750.448	C19.246.200
D006943|C18.452.394.952
D006943|C18.452.394.952
D018149|C18.452.394.952.500
D016640|C13.703.170	C18.452.394.750.448	C19.246.200
D009765|C18.654.726.500	C23.888.144.699.500
D048909|C19.246.099
D003924|C18.452.394.750.149	C19.246.300
D002897|A11.284.187.520.300.325.335
D048909|C19.246.099
D005333|A16.378
D004194|C23.550.288
D004195|C22.232
D006943|C18.452.394.952
D004715|C13.351.500.163
D003920|C18.452.394.750	C19.246
D000013|C16.131
