D000013|C16.131
D013577|C23.550.288.500
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D005099|C10.292.562.887.650	C11.590.810.440
D059041|C05.660.207.707	C16.131.621.207.707
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D013577|C23.550.288.500
D065817|C09.218.235	C16.131.287
D013580|C05.116.099.370.894	C05.660.906	C16.131.621.906
D000070604|C05.116.099.370.894.909	C05.330.495.787	C05.660.585.512.380.875	C05.660.906.909	C16.131.621.585.512.500.787	C16.131.621.906.909
D013580|C05.116.099.370.894	C05.660.906	C16.131.621.906
