D002881|A11.284.187.520.300.325.360
D002503|A11.284.430.106.279.345.190.160.165
D002881|A11.284.187.520.300.325.360
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D002503|A11.284.430.106.279.345.190.160.165
D002503|A11.284.430.106.279.345.190.160.165
D009369|C04
D018404|A11.284.187.570	C23.550.210.430
D009373|C04.557.465
D010871|C04.557.465.625.600.657	C04.557.470.670.657	C04.557.580.625.600.657	C04.588.614.250.195.766	C10.228.140.211.788	C10.551.240.250.625
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D000013|C16.131
D009369|C04
D002278|C04.557.470.200.240
D005854|A05.360.490	A11.497
D009369|C04
D005854|A05.360.490	A11.497
D001940|A01.236
D003110|C04.588.274.476.411.307.180	C06.301.371.411.307.180	C06.405.249.411.307.180	C06.405.469.158.356.180	C06.405.469.491.307.180
D009369|C04
D002894|A11.284.187.520.300.280.285
D002875|A11.284.187	A11.284.430.106.279.345.190
D004198|C23.550.291.687
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D018239|C04.557.465.330.800
D004198|C23.550.291.687
D016615|A11.284.430.106.279.345.190.160.845
D002875|A11.284.187	A11.284.430.106.279.345.190
D009369|C04
D002881|A11.284.187.520.300.325.360
D002893|A11.284.187.520.300.235.250
D013724|C04.557.465.910
D004198|C23.550.291.687
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D013724|C04.557.465.910
D018236|C04.557.465.200
D018240|C04.557.465.510.350
D018239|C04.557.465.330.800
D005854|A05.360.490	A11.497
D009369|C04
D009369|C04
D004628|A16
D002460|A11.251.210
D018239|C04.557.465.330.800
D009373|C04.557.465
D009369|C04
D009369|C04
D002477|A11
D018244|A11.284.187.178.200	A11.284.187.360.800	A19.311.800
D018244|A11.284.187.178.200	A11.284.187.360.800	A19.311.800
D009373|C04.557.465
D002875|A11.284.187	A11.284.430.106.279.345.190
D002278|C04.557.470.200.240
D005854|A05.360.490	A11.497
D012175|C04.557.465.625.600.725	C04.557.470.670.725	C04.557.580.625.600.725	C04.588.364.818.760	C11.270.862	C11.319.475.760	C11.768.717.760
D006967|C20.543
D009369|C04
D018239|C04.557.465.330.800
D018239|C04.557.465.330.800
D002460|A11.251.210
D002278|C04.557.470.200.240
D018239|C04.557.465.330.800
D004194|C23.550.288
D002872|C23.550.210.050.500.500
D007246|C12.294.365	C13.351.500.365
D007248|C12.294.365.700
D009369|C04
D018239|C04.557.465.330.800
D004198|C23.550.291.687
D018450|C23.550.291.656
D002875|A11.284.187	A11.284.430.106.279.345.190
D009362|C04.697.650	C23.550.727.650
D018450|C23.550.291.656
D002875|A11.284.187	A11.284.430.106.279.345.190
D002477|A11
D002460|A11.251.210
D002460|A11.251.210
D009369|C04
D009373|C04.557.465
D003884|C04.182.201	C04.557.465.910.250
D002872|C23.550.210.050.500.500
D009369|C04
D018239|C04.557.465.330.800
D009369|C04
D002875|A11.284.187	A11.284.430.106.279.345.190
D009369|C04
D002875|A11.284.187	A11.284.430.106.279.345.190
D009373|C04.557.465
D002875|A11.284.187	A11.284.430.106.279.345.190
D018239|C04.557.465.330.800
D018236|C04.557.465.200
D018240|C04.557.465.510.350
D002822|C04.557.465.955.207	C04.557.470.200.025.455	C04.850.908.208	C13.703.720.949.208
D003884|C04.182.201	C04.557.465.910.250
D009369|C04
D018236|C04.557.465.200
D018239|C04.557.465.330.800
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D018239|C04.557.465.330.800
D018236|C04.557.465.200
D018240|C04.557.465.510.350
D002822|C04.557.465.955.207	C04.557.470.200.025.455	C04.850.908.208	C13.703.720.949.208
D003884|C04.182.201	C04.557.465.910.250
D018239|C04.557.465.330.800
D018236|C04.557.465.200
D002822|C04.557.465.955.207	C04.557.470.200.025.455	C04.850.908.208	C13.703.720.949.208
D002875|A11.284.187	A11.284.430.106.279.345.190
D013736|C04.588.322.762	C04.588.945.440.915	C12.294.260.937	C12.758.409.937	C19.344.762	C19.391.829.782
D002894|A11.284.187.520.300.280.285
D009474|A08.675	A11.671
D006412|A11.148.378	A11.872.378	A15.378.316.378
D006197|A17.360
D004195|C22.232
D004198|C23.550.291.687
D002887|A11.284.187.520.300.415.430
D013180|C26.844
D012816|C23.888
D013180|C26.844
D002882|A11.284.187.520.300.370.375
D002877|A11.284.187.520.300
D004198|C23.550.291.687
D044342|C18.654.521
D005333|A16.378
D006066|A05.360.576	A06.300.312
D002471|C04.697.098.500	C23.550.727.098.500
D009369|C04
D013180|C26.844
D002888|A11.284.187.520.300.460.465
D002875|A11.284.187	A11.284.430.106.279.345.190
D002888|A11.284.187.520.300.460.465
D013180|C26.844
D004198|C23.550.291.687
D004198|C23.550.291.687
D004628|A16
D004628|A16
D004628|A16
D044342|C18.654.521
D009369|C04
D009373|C04.557.465
D018239|C04.557.465.330.800
D018236|C04.557.465.200
D013724|C04.557.465.910
D002822|C04.557.465.955.207	C04.557.470.200.025.455	C04.850.908.208	C13.703.720.949.208
D018240|C04.557.465.510.350
D002822|C04.557.465.955.207	C04.557.470.200.025.455	C04.850.908.208	C13.703.720.949.208
D018240|C04.557.465.510.350
D018236|C04.557.465.200
D053713|C12.294.365.700.380
D009845|C12.294.365.700.508
D018239|C04.557.465.330.800
D009373|C04.557.465
D008482|A01.923.761.800.500
D012187|A01.923.047.025.750
D010870|A06.300.635	A06.688.733	A08.186.211.180.200.680	A08.186.211.200.317.200.620	A08.713.733
D009369|C04
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D013734|C12.706.316.096.500	C13.351.875.253.096.500	C16.131.939.316.096.500	C16.320.322.061	C19.391.119.096.500
D007713|C12.706.316.795.500	C13.351.875.253.795.500	C16.131.260.830.835.500	C16.131.939.316.795.500	C16.320.180.830.835.500	C19.391.119.795.500	C19.391.482.629
D006059|C12.706.316.309	C13.351.875.253.309	C16.131.939.316.309	C19.391.119.309
