D002869|C23.550.210
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D002880|A11.284.187.520.300.325.355
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D004198|C23.550.291.687
D014178|C23.550.210.870
D014178|C23.550.210.870
D014178|C23.550.210.870
D018244|A11.284.187.178.200	A11.284.187.360.800	A19.311.800
D004198|C23.550.291.687
D004198|C23.550.291.687
D002875|A11.284.187	A11.284.430.106.279.345.190
D002875|A11.284.187	A11.284.430.106.279.345.190
D004198|C23.550.291.687
