D012137|A04
D003550|C06.689.202	C08.381.187	C16.320.190	C16.614.213
D007619|C08.127.384.500	C08.200.531	C08.695.501	C09.150.531	C14.240.400.280.500	C14.280.400.280.500	C16.131.077.245.500.531	C16.131.240.400.280.500	C16.131.740.501	C16.131.810.250.500	C16.320.184.500.531	C16.320.480
D019896|C06.552.074	C08.381.112	C16.320.060	C23.550.325.500.500
D004194|C23.550.288
D004194|C23.550.288
D012852|C08.460.692.752	C08.730.749	C09.603.692.752
D001987|C08.127.384
D001261|C08.381.730
D010005|C05.116.758	C05.550.684
D014034|A01.378.610.250.300.792
