D001769|A12.207.152	A15.145
D050010|C16.320.427	C19.874.410.249
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D001168|C05.550.114
D017511|C17.800.695.675	C17.800.862.675	C17.800.893.675
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D000740|C15.378.071
D007249|C23.550.470
D009080|C14.907.940.560	C15.604.560	C17.800.862.560
