D013577|C23.550.288.500
D000505|C17.800.329.937.122	C23.300.035
D063173|C05.500.460.827	C05.660.207.540.460.827	C07.320.440.827	C07.320.610.827	C07.650.500.460.827	C16.131.621.207.540.460.827	C16.131.850.500.460.827
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D000505|C17.800.329.937.122	C23.300.035
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D006197|A17.360
D012535|A01.456.810
D065710|C07.465.910.411
D063173|C05.500.460.827	C05.660.207.540.460.827	C07.320.440.827	C07.320.610.827	C07.650.500.460.827	C16.131.621.207.540.460.827	C16.131.850.500.460.827
D057887|C07.793.494.630.500
D010159|A14.521.658	A14.549.617
D000505|C17.800.329.937.122	C23.300.035
D006197|A17.360
D000505|C17.800.329.937.122	C23.300.035
D005140|A01.456.505.420.504.421	A09.371.337.338	A17.360.421
D006197|A17.360
D009055|A01.456.505.631	A03.556.500	A14.549
D063173|C05.500.460.827	C05.660.207.540.460.827	C07.320.440.827	C07.320.610.827	C07.650.500.460.827	C16.131.621.207.540.460.827	C16.131.850.500.460.827
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
