D001842|A02.835.232	A10.165.265
D012886|A02.835.232.781
D004194|C23.550.288
D004194|C23.550.288
D012272|A02.835.232.570.500
D010026|C05.116.099.708.702
D002540|A08.186.211.200.885.287.500
D004838|A02.835.232.251
D018483|A02.835.232.169
D005360|A02.835.232.043.650.321
D008159|A02.835.232.834.519
D010014|C05.116.264.579
D004194|C23.550.288
