D002875|A11.284.187	A11.284.430.106.279.345.190
D005918|C04.557.645.350
D010146|C23.888.592.612
D013234|A11.872
D032389|A11.620.520
D005918|C04.557.645.350
D006392|C04.557.645.375.385	C14.907.454.385	C15.378.463.515.385
D003731|C07.793.720.210
D009369|C04
D005918|C04.557.645.350
D005542|A01.378.800.585
D013848|A01.378.610.750
D002081|A01.378.610.100
D005918|C04.557.645.350
D005918|C04.557.645.350
D009130|A02.633.570	A10.690.467
D014680|A07.015.908
D010146|C23.888.592.612
D009092|A10.615.550
D012871|C17.800
D003221|C10.597.606.337	C23.888.592.604.339
D010235|C04.557.465.625.650.700	C04.557.580.625.650.700
D005918|C04.557.645.350
D012871|C17.800
D005918|C04.557.645.350
D005918|C04.557.645.350
D005918|C04.557.645.350
D002999|A11.251.353
D018244|A11.284.187.178.200	A11.284.187.360.800	A19.311.800
D014024|A10
D006967|C20.543
D024182|C23.550.210.645.890
D024182|C23.550.210.645.890
D014024|A10
D012816|C23.888
D003221|C10.597.606.337	C23.888.592.604.339
D010235|C04.557.465.625.650.700	C04.557.580.625.650.700
D005918|C04.557.645.350
D005918|C04.557.645.350
D018235|C04.557.450.590.800
D000310|C04.588.322.078	C19.053.347	C19.344.078
D010233|A06.224.736
D005925|C04.557.465.625.650.700.705.340	C04.557.580.625.650.700.705.340
D005925|C04.557.465.625.650.700.705.340	C04.557.580.625.650.700.705.340
D009369|C04
D010233|A06.224.736
D019291|A01.456.830	A02.835.232.781.750
D013701|A02.835.232.781.885
D002345|C04.557.465.625.650.700.705.220	C04.557.580.625.650.700.705.220
D010233|A06.224.736
D003731|C07.793.720.210
