D001829|A01
D004628|A16
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D001132|A01.378.800.075
D035002|A01.378.610
D005121|A01.378
D001506|C16.131.077.133	C16.131.260.080	C16.320.180.080
D009456|C04.557.580.600.580.590.650	C04.700.631.650	C10.562.600.500	C10.574.500.549.400	C10.668.829.675	C16.320.400.560.400	C16.320.700.633.650
D009456|C04.557.580.600.580.590.650	C04.700.631.650	C10.562.600.500	C10.574.500.549.400	C10.668.829.675	C16.320.400.560.400	C16.320.700.633.650
D016715|C04.445.435.500	C04.651.435.500	C05.116.099.750	C05.660.585.620	C16.131.077.740	C16.131.621.585.620
D007715|C14.907.077.410
D035002|A01.378.610
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D012640|C10.597.742	C23.888.592.742
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D006552|C23.300.707.374.875
D006849|C10.228.140.602
D003480|C19.053.800.367
D001842|A02.835.232	A10.165.265
D006984|C23.300.775
D005359|C05.116.099.708.375.381
D056730|C05.660.207.925	C16.131.077.855	C16.131.260.870	C16.320.180.870	C16.320.240.937
D012600|C05.116.900.800.875
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009369|C04
D009369|C04
D004628|A16
D004194|C23.550.288
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D018268|C04.557.470.200.025.152	C04.588.322.078.265.750	C19.053.098.265.750	C19.053.347.500.750	C19.344.078.265.750
D002477|A11
D018197|C04.557.435.380
D016715|C04.445.435.500	C04.651.435.500	C05.116.099.750	C05.660.585.620	C16.131.077.740	C16.131.621.585.620
D016715|C04.445.435.500	C04.651.435.500	C05.116.099.750	C05.660.585.620	C16.131.077.740	C16.131.621.585.620
D003221|C10.597.606.337	C23.888.592.604.339
D008067|C04.557.450.550.400
D013577|C23.550.288.500
D000013|C16.131
D008068|C17.800.463	C18.452.584.718
D010673|C04.557.465.625.650.700.725	C04.557.580.625.650.700.725
D000072662|A10.830	C23.149.625
D013577|C23.550.288.500
D001506|C16.131.077.133	C16.131.260.080	C16.320.180.080
D000013|C16.131
D006984|C23.300.775
D001506|C16.131.077.133	C16.131.260.080	C16.320.180.080
D013577|C23.550.288.500
D006965|C23.550.444
D006965|C23.550.444
D006965|C23.550.444
D035002|A01.378.610
D002869|C23.550.210
D002875|A11.284.187	A11.284.430.106.279.345.190
D012600|C05.116.900.800.875
D009132|A02.633	A10.690
D001842|A02.835.232	A10.165.265
D006984|C23.300.775
D005145|A01.456.505
D012600|C05.116.900.800.875
D009436|C10.500.680	C16.131.666.680
D009436|C10.500.680	C16.131.666.680
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D002896|A11.284.187.520.300.325.330
D001506|C16.131.077.133	C16.131.260.080	C16.320.180.080
D024182|C23.550.210.645.890
D004628|A16
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D009369|C04
D009369|C04
D024182|C23.550.210.645.890
D009369|C04
D024182|C23.550.210.645.890
D009558|A01.236.500
D009396|C04.557.435.595	C04.588.945.947.535.585	C04.700.900	C12.758.820.750.585	C12.777.419.473.585	C13.351.937.820.535.585	C13.351.968.419.473.585	C16.320.700.900
D008591|C10.500.680.610	C16.131.666.680.610
D009369|C04
