D002999|A11.251.353
D002898|A11.284.187.520.300.325.340
D007962|A11.118.637	A15.145.229.637	A15.382.490
D009132|A02.633	A10.690
D013737|A05.360.444.849	A05.360.576.782	A06.300.312.782
D008168|A04.411
D007421|A03.556.124.684
D015603|A11.409.500	A11.436.397
D006321|A07.541
D013154|A10.549.700	A15.382.520.604.700
D001921|A08.186.211
D008099|A03.620
D007668|A05.810.453
D010053|A05.360.319.114.630	A05.360.576.497	A06.300.312.497
D011467|A05.360.444.575	A10.336.707
D006367|A11.251.210.190.400	A11.251.860.180.400	A11.436.340
D008099|A03.620
D008168|A04.411
D014024|A10
D053595|A11.872.700.250
D053624|A16.254.500.533
D053595|A11.872.700.250
D058732|A11.872.700.250.260
D008928|A11.284.430.214.190.875.564	A11.284.835.626
D000066450|A11.872.700.250.875
D000066449|A11.872.700.250.750
D000066450|A11.872.700.250.875
D006367|A11.251.210.190.400	A11.251.860.180.400	A11.436.340
D000066450|A11.872.700.250.875
D002898|A11.284.187.520.300.325.340
D002875|A11.284.187	A11.284.430.106.279.345.190
