D002875|A11.284.187	A11.284.430.106.279.345.190
D012507|C15.604.515.827
D004198|C23.550.291.687
D012507|C15.604.515.827
D007154|C20
D008168|A04.411
D012507|C15.604.515.827
D012507|C15.604.515.827
D012507|C15.604.515.827
D012507|C15.604.515.827
D012507|C15.604.515.827
D047928|C13.703.420.491.500
D012507|C15.604.515.827
D014605|C11.941.879
D004417|C08.618.326	C23.888.852.371
D017563|C08.381.483
D011658|C08.381.765
D006529|C06.552.416	C23.300.775.525
D013163|C23.300.775.750
D004893|C17.800.174.600.375	C17.800.229.413	C20.543.206.380.375	C25.100.468.380.375
D005158|C07.465.327	C10.597.622.214	C23.888.592.636.214
D010198|C15.378.700
D004198|C23.550.291.687
