D002875|A11.284.187	A11.284.430.106.279.345.190
D009136|C05.651.534.500	C10.668.491.175.500	C16.320.577
D002386|C11.510.245
D008607|C10.597.606.360	C23.888.592.604.646
D002386|C11.510.245
D012640|C10.597.742	C23.888.592.742
D009123|C10.597.613.575	C23.888.592.608.575
D009123|C10.597.613.575	C23.888.592.608.575
D010291|C10.597.636	C23.888.592.643
D001284|C23.300.070
D035002|A01.378.610
D034941|A01.378.800
D010291|C10.597.636	C23.888.592.643
D006321|A07.541
D003286|C05.550.323	C05.651.197
D012600|C05.116.900.800.875
D012640|C10.597.742	C23.888.592.742
D005355|C23.550.355
D000273|A10.165.114
D014617|A11.284.430.214.190.875.190.920
D009210|A10.690.552.875	A11.284.430.214.190.750.620	A11.620.249.850	A11.620.500.500
D013132|C10.228.140.252.700	C10.228.854.787	C10.574.500.825	C16.320.400.780
D013132|C10.228.140.252.700	C10.228.854.787	C10.574.500.825	C16.320.400.780
D051346|C23.888.550
D020233|C10.597.404	C23.888.592.413
D012021|C10.597.704	C23.888.592.717
D002386|C11.510.245
D013285|C10.292.562.887	C11.590.810
D009133|C10.597.613.612	C23.300.070.500	C23.888.592.608.612
D004392|C05.116.099.343	C16.320.240	C19.297
D008141|C05.116.900.800.750
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D003238|A10.165
D058494|C10.500.507.450.499.249.500	C11.270.881	C16.131.666.507.450.499.249.500	C16.320.577.750
D018482|A02.633.567	A10.690.552.500
D004195|C22.232
D004628|A16
D022161|A11.284.430.214.190.875.190.880
D013623|A13.895
D018482|A02.633.567	A10.690.552.500
D004628|A16
D008850|C11.250.566	C16.131.384.666
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D005123|A01.456.505.420	A09.371
D007907|A09.371.060.500.670
D002540|A08.186.211.200.885.287.500
D007907|A09.371.060.500.670
D018485|A10.690.552.500.500	A11.620.249
D013569|A08.850	A11.284.149.165.420.780
D018482|A02.633.567	A10.690.552.500
D012518|A10.690.552.875.700	A11.284.430.214.190.875.820	A11.620.249.850.700	A11.620.500.500.700
D009210|A10.690.552.875	A11.284.430.214.190.750.620	A11.620.249.850	A11.620.500.500
D004392|C05.116.099.343	C16.320.240	C19.297
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D002386|C11.510.245
D013285|C10.292.562.887	C11.590.810
D011665|C14.280.484.660
D012600|C05.116.900.800.875
D008141|C05.116.900.800.750
D010291|C10.597.636	C23.888.592.643
D009123|C10.597.613.575	C23.888.592.608.575
D008607|C10.597.606.360	C23.888.592.604.646
D012640|C10.597.742	C23.888.592.742
