D003924|C18.452.394.750.149	C19.246.300
D005057|A11.450
D007106|A12.207.152.846.500
D002467|A11.284.430.106	A11.284.430.214.190.875.117
D003593|A11.284.430.214
D006323|C14.280.383
D050417|A03.734.414.131	A06.300.414.087	A06.390.131	A11.382.625.092	A11.436.294.092
D010179|A03.734
D002889|A11.284.187.520.300.235.245
