D009386|C04.700	C16.320.700
D050500|C06.689.750.830
D009369|C04
D010179|A03.734
D010179|A03.734
D014024|A10
D009369|C04
D002875|A11.284.187	A11.284.430.106.279.345.190
D010179|A03.734
D010190|C04.588.274.761	C04.588.322.475	C06.301.761	C06.689.667	C19.344.421
D008545|C04.557.465.625.650.510	C04.557.580.625.650.510	C04.557.665.510
D009369|C04
