D035583|C23.550.291.906
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D054514|C11.250.616	C16.131.384.725
D008850|C11.250.566	C16.131.384.666
D005528|A01.378.610.250
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D007593|C05.550.521
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D009128|C05.651.512	C10.597.613.550.550	C23.888.592.608.550.550
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D054514|C11.250.616	C16.131.384.725
D054514|C11.250.616	C16.131.384.725
D004392|C05.116.099.343	C16.320.240	C19.297
D054514|C11.250.616	C16.131.384.725
D008850|C11.250.566	C16.131.384.666
D008566|A10.615
D004194|C23.550.288
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D054514|C11.250.616	C16.131.384.725
D005528|A01.378.610.250
D010159|A14.521.658	A14.549.617
D007593|C05.550.521
D054514|C11.250.616	C16.131.384.725
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D005528|A01.378.610.250
D011782|C10.597.622.760	C23.888.592.636.786
D008850|C11.250.566	C16.131.384.666
D054514|C11.250.616	C16.131.384.725
D009896|C10.292.700.225	C11.640.451
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D003876|C16.320.850.210	C17.800.174.193	C17.800.815.193	C17.800.827.210	C20.543.480.343
D004194|C23.550.288
D004392|C05.116.099.343	C16.320.240	C19.297
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D054514|C11.250.616	C16.131.384.725
D054514|C11.250.616	C16.131.384.725
D008850|C11.250.566	C16.131.384.666
D008566|A10.615
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D009128|C05.651.512	C10.597.613.550.550	C23.888.592.608.550.550
D004392|C05.116.099.343	C16.320.240	C19.297
