D030342|C16.320
D004194|C23.550.288
D003294|C10.597.742.571	C23.888.592.742.571
D003294|C10.597.742.571	C23.888.592.742.571
D003294|C10.597.742.571	C23.888.592.742.571
D003294|C10.597.742.571	C23.888.592.742.571
D003294|C10.597.742.571	C23.888.592.742.571
D012640|C10.597.742	C23.888.592.742
D009325|C23.888.821.712
D003221|C10.597.606.337	C23.888.592.604.339
D012640|C10.597.742	C23.888.592.742
D004829|C10.228.140.490.375
D005334|C23.888.119.344
D004194|C23.550.288
D002875|A11.284.187	A11.284.430.106.279.345.190
