D007154|C20
D002477|A11
D000741|C15.378.071.085	C15.378.190.196
D017099|C15.378.147.333.750	C20.673.430.750
D065227|C15.378.962	C20.920
D008231|C15.378.553.546.605	C20.673.627
D002177|C01.703.160
D017099|C15.378.147.333.750	C20.673.430.750
D000741|C15.378.071.085	C15.378.190.196
D008231|C15.378.553.546.605	C20.673.627
D002177|C01.703.160
