D002875|A11.284.187	A11.284.430.106.279.345.190
D005902|C11.525.381.407
D005902|C11.525.381.407
D004194|C23.550.288
D000690|C10.228.854.139	C10.574.562.250	C10.574.950.050	C10.668.467.250	C18.452.845.800.050
D009132|A02.633	A10.690
D003680|C06.405.117.119	C09.775.174
D003643|C23.550.260
D010291|C10.597.636	C23.888.592.643
D003680|C06.405.117.119	C09.775.174
D004401|C10.597.606.150.500.800.150.200	C23.888.592.604.150.500.800.150.200
D005207|C10.597.613.250	C23.888.592.608.250
D003643|C23.550.260
D004401|C10.597.606.150.500.800.150.200	C23.888.592.604.150.500.800.150.200
D010291|C10.597.636	C23.888.592.643
D035002|A01.378.610
D012131|C08.618.846
D003643|C23.550.260
D019636|C10.574
D006225|A01.378.800.667
D018476|C10.597.350.400	C23.888.592.350.400
D016472|C10.574.562	C10.668.467
D018888|C10.228.140.380.132	C10.597.606.150.500.800.100.155	C23.888.592.604.150.500.800.100.155
D003643|C23.550.260
D001284|C23.300.070
D001284|C23.300.070
D000679|A08.186.211.180.090	A08.186.211.200.885.287.249.152
D013378|A08.186.211.132.659.413.656
D001933|A08.186.211.132
D002879|A11.284.187.520.300.325.350
D004194|C23.550.288
D002879|A11.284.187.520.300.325.350
D005901|C11.525.381
D002895|A11.284.187.520.300.280.290
D005901|C11.525.381
D003593|A11.284.430.214
D005902|C11.525.381.407
D005902|C11.525.381.407
D002479|A11.284.420
D002479|A11.284.420
D003711|C10.314
D002490|A08.186
D001369|A08.675.542.145	A11.284.180.075	A11.671.137	A11.671.501.145
