D002875|A11.284.187	A11.284.430.106.279.345.190
D005878|C16.320.565.300.528	C18.452.648.300.528
D003414|C16.320.565.300.281	C18.452.648.300.281
D006933|C16.320.565.300	C18.452.648.300
D003414|C16.320.565.300.281	C18.452.648.300.281
D007566|C16.320.565.300.764	C16.614.451.500.250	C18.452.648.300.764
D006933|C16.320.565.300	C18.452.648.300
D002780|C06.130.120.135.250	C06.552.150
D001646|A12.200.087
D001646|A12.200.087
D019556|A11.251.210.172.500	A11.329.228.220
D005878|C16.320.565.300.528	C18.452.648.300.528
D007565|C23.550.429.500	C23.888.885.375
D007565|C23.550.429.500	C23.888.885.375
D004194|C23.550.288
D005878|C16.320.565.300.528	C18.452.648.300.528
D007565|C23.550.429.500	C23.888.885.375
D006932|C23.550.429
D003414|C16.320.565.300.281	C18.452.648.300.281
