D002875|A11.284.187	A11.284.430.106.279.345.190
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D009755|C11.966.671
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D005654|A09.371.729.313
D055213|A09.371.670.500	A09.371.729.887
D009755|C11.966.671
D009755|C11.966.671
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D005654|A09.371.729.313
D003643|C23.550.260
D009755|C11.966.671
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D005654|A09.371.729.313
D058499|C11.768.585.658
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D009755|C11.966.671
