D013577|C23.550.288.500
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008850|C11.250.566	C16.131.384.666
D011628|C19.391.690
D003643|C23.550.260
D004194|C23.550.288
D003643|C23.550.260
D004194|C23.550.288
D008850|C11.250.566	C16.131.384.666
D006314|C09.218.458.341.562	C10.597.751.418.341.562	C23.888.592.763.393.341.562
D005145|A01.456.505
D014178|C23.550.210.870
D014314|C23.550.210.050.750	C23.550.210.182.500
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008850|C11.250.566	C16.131.384.666
D005121|A01.378
D059327|C05.660.585.262	C16.131.621.585.262
D006321|A07.541
D006330|C14.240.400	C14.280.400	C16.131.240.400
