D001327|C20.111
D007410|C06.405.469
D001402|A11.063.438	A11.118.637.555.567.562	A15.145.229.637.555.567.562	A15.382.032.438	A15.382.490.555.567.562
D007694|A11.118.637.555.567.537	A15.145.229.637.555.567.537	A15.382.490.555.567.537
D013950|A10.549.750	A15.382.520.604.750
D016511|C16.614.815	C18.452.284.800	C20.673.815
D007422|A03.556.124
D008286|C06.405.469.637	C18.452.603
D041981|A03.556
D041981|A03.556
D004847|A11.436
D005183|C23.888.338
D014777|C02
D001989|C08.127.446.135.140	C08.381.495.146.135.140
D013601|A11.118.637.555.567.569	A15.145.229.637.555.567.569	A15.382.490.555.567.569
D000744|C15.378.071.141.125	C20.111.175
D003643|C23.550.260
D014777|C02
D013601|A11.118.637.555.567.569	A15.145.229.637.555.567.569	A15.382.490.555.567.569
D013601|A11.118.637.555.567.569	A15.145.229.637.555.567.569	A15.382.490.555.567.569
D003593|A11.284.430.214
D007153|C20.673
D007153|C20.673
D002477|A11
D008231|C15.378.553.546.605	C20.673.627
D018414|A11.118.637.555.567.569.220	A15.145.229.637.555.567.569.220	A15.382.490.555.567.569.220
D008214|A11.118.637.555.567	A15.145.229.637.555.567	A15.382.490.555.567
D013601|A11.118.637.555.567.569	A15.145.229.637.555.567.569	A15.382.490.555.567.569
D006377|A11.118.637.555.567.550.500.400	A11.118.637.555.567.569.200.400	A11.118.637.555.567.569.500.400	A15.145.229.637.555.567.550.500.400	A15.145.229.637.555.567.569.200.400	A15.145.229.637.555.567.569.500.400	A15.382.490.555.567.550.500.400	A15.382.490.555.567.569.200.400	A15.382.490.555.567.569.500.400
D015496|A11.118.637.555.567.569.200	A15.145.229.637.555.567.569.200	A15.382.490.555.567.569.200
D001402|A11.063.438	A11.118.637.555.567.562	A15.145.229.637.555.567.562	A15.382.032.438	A15.382.490.555.567.562
D007694|A11.118.637.555.567.537	A15.145.229.637.555.567.537	A15.382.490.555.567.537
D008231|C15.378.553.546.605	C20.673.627
D007694|A11.118.637.555.567.537	A15.145.229.637.555.567.537	A15.382.490.555.567.537
D003643|C23.550.260
D003643|C23.550.260
D008231|C15.378.553.546.605	C20.673.627
D013950|A10.549.750	A15.382.520.604.750
D013950|A10.549.750	A15.382.520.604.750
D005183|C23.888.338
D010031|C09.218.705
D007410|C06.405.469
D003872|C17.800.174
D000744|C15.378.071.141.125	C20.111.175
D003643|C23.550.260
