D014781|A01.960
D005123|A01.456.505.420	A09.371
D005146|C23.300.505
D005146|C23.300.505
D000550|C10.228.140.055	C10.597.751.941.073	C11.966.073	C23.888.592.763.941.073
D005123|A01.456.505.420	A09.371
D004948|C10.292.562.887.300	C11.590.810.400
D005123|A01.456.505.420	A09.371
D004948|C10.292.562.887.300	C11.590.810.400
D000550|C10.228.140.055	C10.597.751.941.073	C11.966.073	C23.888.592.763.941.073
D000550|C10.228.140.055	C10.597.751.941.073	C11.966.073	C23.888.592.763.941.073
D005123|A01.456.505.420	A09.371
D005145|A01.456.505
D005146|C23.300.505
D005123|A01.456.505.420	A09.371
D013285|C10.292.562.887	C11.590.810
D000550|C10.228.140.055	C10.597.751.941.073	C11.966.073	C23.888.592.763.941.073
D009055|A01.456.505.631	A03.556.500	A14.549
