D002875|A11.284.187	A11.284.430.106.279.345.190
D004827|C10.228.140.490
D003643|C23.550.260
D013226|C10.597.742.785	C23.888.592.742.785
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D006212|C10.597.606.762.300	C23.888.592.604.764.300
D012640|C10.597.742	C23.888.592.742
D007829|C08.360.591	C09.400.591	C16.131.740.658
D013702|A08.186.211.200.885.287.500.863
D003643|C23.550.260
D012640|C10.597.742	C23.888.592.742
D001921|A08.186.211
D000013|C16.131
D065706|C10.500.507.500.500	C16.131.666.507.500.500
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D006212|C10.597.606.762.300	C23.888.592.604.764.300
D013226|C10.597.742.785	C23.888.592.742.785
D065706|C10.500.507.500.500	C16.131.666.507.500.500
D003693|C10.597.606.337.500	C23.888.592.604.339.500
