D002875|A11.284.187	A11.284.430.106.279.345.190
D035583|C23.550.291.906
D008168|A04.411
D004194|C23.550.288
D012816|C23.888
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D005097|C04.557.450.565.575.610.615.325	C04.700.330	C05.116.099.708.670.615.325	C05.116.540.310.500	C16.320.700.330
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D003643|C23.550.260
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D004194|C23.550.288
D044342|C18.654.521
D005355|C23.550.355
