D002875|A11.284.187	A11.284.430.106.279.345.190
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D004374|C14.240.400.340	C14.280.400.340	C16.131.240.400.340
D004392|C05.116.099.343	C16.320.240	C19.297
D065817|C09.218.235	C16.131.287
D010329|A02.835.232.043.650.624	A02.835.232.730.500
D004392|C05.116.099.343	C16.320.240	C19.297
D005317|C13.703.277.370	C16.300.390	C23.550.393.450
D005183|C23.888.338
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D065817|C09.218.235	C16.131.287
D008865|C07.465.525.520	C07.650.525.520	C16.131.850.525.520
D004646|C23.550.325
D003456|C12.294.829.258	C12.706.258	C16.131.939.258	C19.391.829.258
D002843|A11.284.430.106.279.345.190.160.180
