D014024|A10
D008107|C06.552
D006528|C04.557.470.200.025.255	C04.588.274.623.160	C06.301.623.160	C06.552.697.160
D002477|A11
D004194|C23.550.288
D014556|A12.207.927
D001249|C08.127.108	C08.381.495.108	C08.674.095	C20.543.480.680.095
D012640|C10.597.742	C23.888.592.742
D006617|C05.550.518.384	C26.289.384	C26.531.500
D013285|C10.292.562.887	C11.590.810
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D006366|A11.118.290.330.315.335	A11.284.420.204.335	A15.145.229.334.330.340.335
D011218|C10.597.606.360.690	C16.131.077.730	C16.131.260.700	C16.320.180.700	C18.654.726.500.740
D012640|C10.597.742	C23.888.592.742
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D012021|C10.597.704	C23.888.592.717
D061085|C10.500.034	C16.131.666.034	C23.300.008
D018476|C10.597.350.400	C23.888.592.350.400
D010949|A12.207.152.693	A12.207.270.695	A15.145.693
D013285|C10.292.562.887	C11.590.810
D014202|C10.597.350.850	C23.888.592.350.850
