D002875|A11.284.187	A11.284.430.106.279.345.190
D004194|C23.550.288
D005654|A09.371.729.313
D014059|A03.556.500.885	A14.549.885
D012171|A07.015.611
D004194|C23.550.288
D007249|C23.550.470
D004194|C23.550.288
D001284|C23.300.070
D055213|A09.371.670.500	A09.371.729.887
D009216|C11.744.636
D001251|C11.744.212
D005123|A01.456.505.420	A09.371
D012160|A09.371.729
D055213|A09.371.670.500	A09.371.729.887
D002829|A09.371.894.223
D055213|A09.371.670.500	A09.371.729.887
D009900|A08.800.800.120.680
D009186|A08.637.600.500	A08.637.800.500	A08.675.542.512.560	A08.800.800.690.500	A10.755.503	A11.284.149.165.600	A11.650.600.500	A11.650.800.500	A11.671.501.512.560	A11.671.514.553
D055213|A09.371.670.500	A09.371.729.887
D012160|A09.371.729
D004194|C23.550.288
D005123|A01.456.505.420	A09.371
D009216|C11.744.636
D001251|C11.744.212
