D002875|A11.284.187	A11.284.430.106.279.345.190
D008607|C10.597.606.360	C23.888.592.604.646
D004827|C10.228.140.490
D004550|A01.378.800.420
D012782|A01.378.800.750
D009896|C10.292.700.225	C11.640.451
D014556|A12.207.927
D005347|A11.329.228
D014556|A12.207.927
D005347|A11.329.228
D000072662|A10.830	C23.149.625
D044342|C18.654.521
D014024|A10
D003398|C05.116.099.370.894.232	C05.660.207.240	C05.660.906.364	C16.131.621.207.240	C16.131.621.906.364
D009896|C10.292.700.225	C11.640.451
D008265|C07.465.525.480	C07.650.525.480	C16.131.850.525.480
D006344|C14.240.400.560.375	C14.280.400.560.375	C16.131.240.400.560.375
D007717|A01.378.610.450
D004550|A01.378.800.420
D012782|A01.378.800.750
D012640|C10.597.742	C23.888.592.742
D009123|C10.597.613.575	C23.888.592.608.575
D014551|A05.810
D004912|A11.118.290	A11.443.240	A15.145.229.334
