D002875|A11.284.187	A11.284.430.106.279.345.190
D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D009461|C10.597	C23.888.592
D009123|C10.597.613.575	C23.888.592.608.575
D003643|C23.550.260
D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D005121|A01.378
D012640|C10.597.742	C23.888.592.742
D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D010291|C10.597.636	C23.888.592.643
D004421|C10.597.350.300	C23.888.592.350.300
D013226|C10.597.742.785	C23.888.592.742.785
D001921|A08.186.211
D001921|A08.186.211
D002531|A08.186.211.132.810.428.200
D012640|C10.597.742	C23.888.592.742
D007239|C01.539
D004194|C23.550.288
D018450|C23.550.291.656
D009896|C10.292.700.225	C11.640.451
D010787|C17.800.600
D003643|C23.550.260
D004194|C23.550.288
D020191|C10.228.140.490.375.130.650	C10.228.140.490.493.063.650
D004421|C10.597.350.300	C23.888.592.350.300
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D003643|C23.550.260
D012640|C10.597.742	C23.888.592.742
D002893|A11.284.187.520.300.235.250
D004194|C23.550.288
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D009896|C10.292.700.225	C11.640.451
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D013226|C10.597.742.785	C23.888.592.742.785
D009207|C10.597.350.500	C23.888.592.350.500
D009123|C10.597.613.575	C23.888.592.608.575
D004421|C10.597.350.300	C23.888.592.350.300
D010291|C10.597.636	C23.888.592.643
D010291|C10.597.636	C23.888.592.643
D012640|C10.597.742	C23.888.592.742
D003141|C01.539.221
D012640|C10.597.742	C23.888.592.742
D003643|C23.550.260
