D002477|A11
D002999|A11.251.353
D018482|A02.633.567	A10.690.552.500
D009080|C14.907.940.560	C15.604.560	C17.800.862.560
D018482|A02.633.567	A10.690.552.500
D006333|C14.280.434
D010179|A03.734
D018482|A02.633.567	A10.690.552.500
D018482|A02.633.567	A10.690.552.500
D009132|A02.633	A10.690
D002889|A11.284.187.520.300.235.245
D004195|C22.232
D018482|A02.633.567	A10.690.552.500
D009132|A02.633	A10.690
D018482|A02.633.567	A10.690.552.500
D009132|A02.633	A10.690
D004195|C22.232
D018482|A02.633.567	A10.690.552.500
D009132|A02.633	A10.690
D009132|A02.633	A10.690
D018482|A02.633.567	A10.690.552.500
D008099|A03.620
D009132|A02.633	A10.690
D018482|A02.633.567	A10.690.552.500
