D009422|C10
D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D014556|A12.207.927
D002555|A12.207.270.210
D007863|C16.320.565.398.500.330.500	C18.452.584.500.875.330.500	C18.452.648.398.500.330.500
D014556|A12.207.927
D044967|A12.207.152.846	A15.145.846
D010661|C10.228.140.163.100.687	C16.320.565.100.766	C16.320.565.189.687	C18.452.132.100.687	C18.452.648.100.766	C18.452.648.189.687
D018476|C10.597.350.400	C23.888.592.350.400
D003643|C23.550.260
D066128|A08.186.211.168	A08.186.854.348
D005355|C23.550.355
D011690|A07.541.409.683
D009123|C10.597.613.575	C23.888.592.608.575
D014202|C10.597.350.850	C23.888.592.350.850
D000013|C16.131
D002872|C23.550.210.050.500.500
D002872|C23.550.210.050.500.500
D005854|A05.360.490	A11.497
D002887|A11.284.187.520.300.415.430
D006225|A01.378.800.667
D004194|C23.550.288
D002872|C23.550.210.050.500.500
D004831|C10.228.140.490.375.130	C10.228.140.490.493.063
D044342|C18.654.521
