D002875|A11.284.187	A11.284.430.106.279.345.190
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D004392|C05.116.099.343	C16.320.240	C19.297
D010388|A01.923.600
D009765|C18.654.726.500	C23.888.144.699.500
D013961|A06.300.900
D012640|C10.597.742	C23.888.592.742
D054022|A08.186.211.200.885.287
D002531|A08.186.211.132.810.428.200
D000013|C16.131
D004392|C05.116.099.343	C16.320.240	C19.297
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D004195|C22.232
D054258|A16.629
D012886|A02.835.232.781
D004392|C05.116.099.343	C16.320.240	C19.297
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D065817|C09.218.235	C16.131.287
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008161|A01.923.176.519
D006615|A01.378.610.400
D014457|A02.835.232.087.090.850
D012640|C10.597.742	C23.888.592.742
D007037|C19.874.482
