D002875|A11.284.187	A11.284.430.106.279.345.190
D000544|C10.228.140.380.100	C10.574.945.249
D056784|C10.228.140.695
D004194|C23.550.288
D010146|C23.888.592.612
D005528|A01.378.610.250
D050723|C26.404
D009461|C10.597	C23.888.592
D004194|C23.550.288
D000544|C10.228.140.380.100	C10.574.945.249
D003643|C23.550.260
D012598|C23.550.823
D056784|C10.228.140.695
D017667|A11.329.114
D008566|A10.615
D005911|C23.550.369
D003711|C10.314
D066127|A08.186.211.204	A08.186.854.880
D058225|C23.300.821
D016874|A08.675.609.520	A11.284.430.214.190.750.640.520	A11.671.573.520
D007938|C04.557.337
D003221|C10.597.606.337	C23.888.592.604.339
D000544|C10.228.140.380.100	C10.574.945.249
D005357|C05.116.099.708.375
D005528|A01.378.610.250
D000544|C10.228.140.380.100	C10.574.945.249
D001842|A02.835.232	A10.165.265
D050723|C26.404
D000544|C10.228.140.380.100	C10.574.945.249
D009461|C10.597	C23.888.592
