D002875|A11.284.187	A11.284.430.106.279.345.190
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D020961|C10.228.140.079.862.400	C10.228.140.380.422	C10.228.662.600.200	C10.574.531
D020961|C10.228.140.079.862.400	C10.228.140.380.422	C10.228.662.600.200	C10.574.531
D020774|C10.228.140.380.266.299.500
D057180|C10.228.140.380.266.299	C10.574.950.300.299	C18.452.845.800.300.299
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D020734|C10.228.140.079.862	C10.228.662.600
D020734|C10.228.140.079.862	C10.228.662.600
D013378|A08.186.211.132.659.413.656
D016631|A08.675.460	A11.284.420.460	A11.671.460
D016874|A08.675.609.520	A11.284.430.214.190.750.640.520	A11.671.573.520
D020734|C10.228.140.079.862	C10.228.662.600
D018476|C10.597.350.400	C23.888.592.350.400
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D014202|C10.597.350.850	C23.888.592.350.850
D005911|C23.550.369
D016631|A08.675.460	A11.284.420.460	A11.671.460
D011699|A08.186.211.200.885.287.249.487.550.784
D000013|C16.131
D035002|A01.378.610
D004194|C23.550.288
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D016631|A08.675.460	A11.284.420.460	A11.671.460
D002479|A11.284.420
D013378|A08.186.211.132.659.413.656
D008125|A08.186.211.132.659.473	A08.186.211.132.810.428.600.650.437
D016631|A08.675.460	A11.284.420.460	A11.671.460
D058225|C23.300.821
D016874|A08.675.609.520	A11.284.430.214.190.750.640.520	A11.671.573.520
D000544|C10.228.140.380.100	C10.574.945.249
D016631|A08.675.460	A11.284.420.460	A11.671.460
D009474|A08.675	A11.671
D013378|A08.186.211.132.659.413.656
D002479|A11.284.420
D019636|C10.574
D020961|C10.228.140.079.862.400	C10.228.140.380.422	C10.228.662.600.200	C10.574.531
D016631|A08.675.460	A11.284.420.460	A11.671.460
D001933|A08.186.211.132
D016631|A08.675.460	A11.284.420.460	A11.671.460
D018450|C23.550.291.656
D001342|C10.177
D020961|C10.228.140.079.862.400	C10.228.140.380.422	C10.228.662.600.200	C10.574.531
D003704|C10.228.140.380
D003643|C23.550.260
D024801|C10.574.945
D000302|A06.300.071.140
D058225|C23.300.821
D016631|A08.675.460	A11.284.420.460	A11.671.460
D013378|A08.186.211.132.659.413.656
D016631|A08.675.460	A11.284.420.460	A11.671.460
D016631|A08.675.460	A11.284.420.460	A11.671.460
D016631|A08.675.460	A11.284.420.460	A11.671.460
D019636|C10.574
D018888|C10.228.140.380.132	C10.597.606.150.500.800.100.155	C23.888.592.604.150.500.800.100.155
D020774|C10.228.140.380.266.299.500
D057180|C10.228.140.380.266.299	C10.574.950.300.299	C18.452.845.800.300.299
D004194|C23.550.288
D001072|C10.597.606.881.350	C23.888.592.604.882.350
D009122|C10.597.613.550	C23.888.592.608.550
D020233|C10.597.404	C23.888.592.413
D014202|C10.597.350.850	C23.888.592.350.850
D004827|C10.228.140.490
D001039|C10.597.606.150.500.800.100.100	C23.888.592.604.150.500.800.100.100
D014202|C10.597.350.850	C23.888.592.350.850
D001284|C23.300.070
D001921|A08.186.211
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D009833|A08.186.211.180.699	A08.612.220.640
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D000857|C10.597.751.600	C23.888.592.763.550
D044342|C18.654.521
D014202|C10.597.350.850	C23.888.592.350.850
D014202|C10.597.350.850	C23.888.592.350.850
D004194|C23.550.288
D004194|C23.550.288
D014202|C10.597.350.850	C23.888.592.350.850
D014202|C10.597.350.850	C23.888.592.350.850
D003248|C23.888.821.150
D003342|A08.186.211.200.885.287.249.487
D003342|A08.186.211.200.885.287.249.487
D012878|C04.588.805	C17.800.882
D012878|C04.588.805	C17.800.882
D009369|C04
D001940|A01.236
D009369|C04
D002471|C04.697.098.500	C23.550.727.098.500
D012878|C04.588.805	C17.800.882
D020734|C10.228.140.079.862	C10.228.662.600
D004194|C23.550.288
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D014202|C10.597.350.850	C23.888.592.350.850
D051346|C23.888.550
D014202|C10.597.350.850	C23.888.592.350.850
D018450|C23.550.291.656
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D018476|C10.597.350.400	C23.888.592.350.400
D014202|C10.597.350.850	C23.888.592.350.850
D010300|C10.228.140.079.862.500	C10.228.662.600.400	C10.574.812
D004194|C23.550.288
D004194|C23.550.288
D004195|C22.232
D020734|C10.228.140.079.862	C10.228.662.600
D059290|A08.675.278	A11.671.270
D010786|A08.675.650.850.625	A08.675.650.915.937	A08.800.950.937	A09.371.729.831.625	A11.671.650.850.625	A11.671.650.915.937
D012162|C11.270.612	C11.768.585
D004195|C22.232
D009410|C23.550.737
D020734|C10.228.140.079.862	C10.228.662.600
D020734|C10.228.140.079.862	C10.228.662.600
D018476|C10.597.350.400	C23.888.592.350.400
D009127|C05.651.504	C10.597.613.550.500	C23.888.592.608.550.500
D014202|C10.597.350.850	C23.888.592.350.850
D000544|C10.228.140.380.100	C10.574.945.249
D016631|A08.675.460	A11.284.420.460	A11.671.460
D009362|C04.697.650	C23.550.727.650
