D000506|C17.800.329.937.122.147
D004848|A10.272
D007249|C23.550.470
D002921|A10.165.450.300	C23.550.355.274
D000505|C17.800.329.937.122	C23.300.035
D000505|C17.800.329.937.122	C23.300.035
D000505|C17.800.329.937.122	C23.300.035
D018859|A10.272.497.500	A17.360.710	A17.815.250.500
D006080|A05.360.319.114.630.535	A06.300.312.497.535
D006080|A05.360.319.114.630.535	A06.300.312.497.535
D006080|A05.360.319.114.630.535	A06.300.312.497.535
D000505|C17.800.329.937.122	C23.300.035
