D002875|A11.284.187	A11.284.430.106.279.345.190
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D020234|C10.597.350.090.750	C10.597.404.450	C23.888.592.350.090.600	C23.888.592.413.450
D001259|C10.597.350.090	C23.888.592.350.090
D001766|C10.597.751.941.162	C11.966.075	C23.888.592.763.941.162
D001259|C10.597.350.090	C23.888.592.350.090
D004931|C06.405.117.119.500.432
D012600|C05.116.900.800.875
D002100|C23.888.144.243.963.500.500
D013116|A08.186.854
D013132|C10.228.140.252.700	C10.228.854.787	C10.574.500.825	C16.320.400.780
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D001259|C10.597.350.090	C23.888.592.350.090
D004194|C23.550.288
D009477|C10.500.250	C10.574.500.493	C10.668.829.800.175	C16.131.666.310	C16.320.400.415
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D001259|C10.597.350.090	C23.888.592.350.090
D000013|C16.131
D012600|C05.116.900.800.875
D005528|A01.378.610.250
D012021|C10.597.704	C23.888.592.717
D009755|C11.966.671
D020234|C10.597.350.090.750	C10.597.404.450	C23.888.592.350.090.600	C23.888.592.413.450
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D009896|C10.292.700.225	C11.640.451
D020234|C10.597.350.090.750	C10.597.404.450	C23.888.592.350.090.600	C23.888.592.413.450
D005121|A01.378
D018232|C04.557.450.590.550.660.665	C04.557.450.795.550.660.665
D014034|A01.378.610.250.300.792
D000050|A11.118.290.330.100	A11.443.240.330.100	A15.145.229.334.330.100
D009333|A01.598
D004194|C23.550.288
D004194|C23.550.288
D009410|C23.550.737
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D002895|A11.284.187.520.300.280.290
D012607|C10.597.751.941.811	C11.966.811	C23.888.592.763.941.811
D012174|C11.270.684	C11.768.585.658.500	C16.320.290.684
D009755|C11.966.671
D009896|C10.292.700.225	C11.640.451
D004931|C06.405.117.119.500.432
D014549|C12.777.934.852	C13.351.968.934.814	C23.888.942.343.800
D012600|C05.116.900.800.875
D009133|C10.597.613.612	C23.300.070.500	C23.888.592.608.612
D001259|C10.597.350.090	C23.888.592.350.090
D012021|C10.597.704	C23.888.592.717
D013116|A08.186.854
D007446|C23.550.210.190
