D035583|C23.550.291.906
D009123|C10.597.613.575	C23.888.592.608.575
D010026|C05.116.099.708.702
D018483|A02.835.232.169
D012886|A02.835.232.781
D012640|C10.597.742	C23.888.592.742
D010264|C10.597.622.669	C23.888.592.636.637
D014551|A05.810
D010010|A11.329.372.700	A11.627.482.700
D009123|C10.597.613.575	C23.888.592.608.575
D010026|C05.116.099.708.702
D001842|A02.835.232	A10.165.265
D012272|A02.835.232.570.500
D002968|A02.835.232.087.227
D007085|A02.835.232.043.825.434
D000077|A02.835.232.043.825.108
D013131|A02.835.232.834
D018483|A02.835.232.169
D001842|A02.835.232	A10.165.265
D012886|A02.835.232.781
D010264|C10.597.622.669	C23.888.592.636.637
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D012598|C23.550.823
D050281|A02.835.232.043
D012598|C23.550.823
D007085|A02.835.232.043.825.434
D013628|A02.835.232.043.300.710.780
D002111|A02.835.232.043.300.710.300
D012886|A02.835.232.781
D013131|A02.835.232.834
D007855|C25.723.522.750
D012598|C23.550.823
D013977|A02.835.232.043.650.883
D004194|C23.550.288
D007855|C25.723.522.750
D014551|A05.810
D001862|C05.116.264
D009123|C10.597.613.575	C23.888.592.608.575
D010026|C05.116.099.708.702
D035002|A01.378.610
D010026|C05.116.099.708.702
D005528|A01.378.610.250
D012598|C23.550.823
D012540|A02.835.232.087.783
D007085|A02.835.232.043.825.434
D011630|A02.835.232.043.825.781
D007512|A02.835.232.043.825.548
D001842|A02.835.232	A10.165.265
D012886|A02.835.232.781
D014551|A05.810
D010026|C05.116.099.708.702
D012272|A02.835.232.570.500
D013131|A02.835.232.834
D035002|A01.378.610
D013628|A02.835.232.043.300.710.780
D009123|C10.597.613.575	C23.888.592.608.575
D012640|C10.597.742	C23.888.592.742
D010264|C10.597.622.669	C23.888.592.636.637
D014551|A05.810
