D002875|A11.284.187	A11.284.430.106.279.345.190
D006963|C23.888.821.645
D009767|C18.654.726.500.700	C23.888.144.699.500.500
D000857|C10.597.751.600	C23.888.592.763.550
D008607|C10.597.606.360	C23.888.592.604.646
D009765|C18.654.726.500	C23.888.144.699.500
D006963|C23.888.821.645
D000857|C10.597.751.600	C23.888.592.763.550
D008607|C10.597.606.360	C23.888.592.604.646
D006949|C18.452.584.500.500
D007333|C18.452.394.968.500
D009765|C18.654.726.500	C23.888.144.699.500
D003924|C18.452.394.750.149	C19.246.300
D003924|C18.452.394.750.149	C19.246.300
D003924|C18.452.394.750.149	C19.246.300
D009765|C18.654.726.500	C23.888.144.699.500
D009765|C18.654.726.500	C23.888.144.699.500
D004194|C23.550.288
D009765|C18.654.726.500	C23.888.144.699.500
D000857|C10.597.751.600	C23.888.592.763.550
D006963|C23.888.821.645
D008607|C10.597.606.360	C23.888.592.604.646
D006963|C23.888.821.645
D007333|C18.452.394.968.500
D006949|C18.452.584.500.500
D006963|C23.888.821.645
