D004194|C23.550.288
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D007057|C16.131.831.512	C16.614.492	C17.800.428.333	C17.800.804.512
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D003873|C17.800.174.318	C17.800.815.318
D008566|A10.615
D010146|C23.888.592.612
D003782|A14.549.167.900.260
D004483|C11.338.362
D012535|A01.456.810
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D004890|C17.800.229	C23.888.885.328
D001829|A01
D004817|A10.272.497	A17.815.250
D004890|C17.800.229	C23.888.885.328
D000505|C17.800.329.937.122	C23.300.035
D009362|C04.697.650	C23.550.727.650
D007007|C17.800.946.370
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D007057|C16.131.831.512	C16.614.492	C17.800.428.333	C17.800.804.512
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D003873|C17.800.174.318	C17.800.815.318
D003873|C17.800.174.318	C17.800.815.318
D004817|A10.272.497	A17.815.250
D010212|C04.557.470.700.600
D014008|C01.539.800.200.720.760	C01.703.295.872.707	C17.800.321.125.500	C17.800.838.208.883.658	C23.888.885.625.500
D014009|C01.539.800.200.720.550	C01.703.295.872.458	C17.800.529.550	C17.800.838.208.883.458
D009362|C04.697.650	C23.550.727.650
D001424|C01.252
D002503|A11.284.430.106.279.345.190.160.165
D007057|C16.131.831.512	C16.614.492	C17.800.428.333	C17.800.804.512
D017490|C16.131.831.512.400.410	C16.320.850.400.410	C16.614.492.400.410	C17.800.428.333.250.410	C17.800.804.512.400.410	C17.800.827.400.410
D003873|C17.800.174.318	C17.800.815.318
D010212|C04.557.470.700.600
D014009|C01.539.800.200.720.550	C01.703.295.872.458	C17.800.529.550	C17.800.838.208.883.458
