D004198|C23.550.291.687
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004194|C23.550.288
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D014178|C23.550.210.870
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D014178|C23.550.210.870
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D002893|A11.284.187.520.300.235.250
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
D004410|C10.597.606.150.500.300	C10.597.606.150.550.200	C23.888.592.604.150.500.300	C23.888.592.604.150.550.200
