D006458|A13.453
D015746|C23.888.592.612.054	C23.888.821.030
D005414|C23.888.821.360
D003967|C23.888.821.214
D014839|C23.888.821.937
D007583|A03.556.124.684.500	A03.556.249.750
D008286|C06.405.469.637	C18.452.603
D010437|C06.405.469.275.800	C06.405.748.586
D013274|C04.588.274.476.767	C06.301.371.767	C06.405.249.767	C06.405.748.789
D010179|A03.734
D008286|C06.405.469.637	C18.452.603
D008286|C06.405.469.637	C18.452.603
D007422|A03.556.124
D007422|A03.556.124
D003967|C23.888.821.214
D008286|C06.405.469.637	C18.452.603
D002446|C06.405.469.637.250	C18.452.603.250
D004194|C23.550.288
D009203|C14.280.647.500	C14.907.585.500
D015746|C23.888.592.612.054	C23.888.821.030
D005414|C23.888.821.360
D002446|C06.405.469.637.250	C18.452.603.250
D004386|A03.556.124.684.124	A03.556.875.249
