D014551|A05.810
D009401|C12.777.419.630	C13.351.968.419.630
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D009401|C12.777.419.630	C13.351.968.419.630
D006214|A01.378.610.250.300.792.380
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D000013|C16.131
D001842|A02.835.232	A10.165.265
D007668|A05.810.453
D013577|C23.550.288.500
D017880|C05.660.585	C16.131.621.585
D006214|A01.378.610.250.300.792.380
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D009401|C12.777.419.630	C13.351.968.419.630
