D002875|A11.284.187	A11.284.430.106.279.345.190
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D011782|C10.597.622.760	C23.888.592.636.786
D054082|C10.500.507.450.499	C16.131.666.507.450.499
D011782|C10.597.622.760	C23.888.592.636.786
D008831|C05.660.207.620	C10.500.507.400.500	C16.131.621.207.620	C16.131.666.507.400.500
D008607|C10.597.606.360	C23.888.592.604.646
D054221|C10.500.507.450.230	C10.500.507.450.499.230	C16.131.666.507.450.230	C16.131.666.507.450.499.230	C16.320.322.500.186
D002386|C11.510.245
D054220|C10.500.507	C16.131.666.507
D004628|A16
D000302|A06.300.071.140
D002540|A08.186.211.200.885.287.500
D008870|A11.284.430.214.190.750.602
D002386|C11.510.245
D011782|C10.597.622.760	C23.888.592.636.786
D012640|C10.597.742	C23.888.592.742
D054220|C10.500.507	C16.131.666.507
D054221|C10.500.507.450.230	C10.500.507.450.499.230	C16.131.666.507.450.230	C16.131.666.507.450.499.230	C16.320.322.500.186
