D010009|C05.116.099.708	C16.320.728
D010388|A01.923.600
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D005269|A02.835.232.043.650.247
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D004194|C23.550.288
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D012886|A02.835.232.781
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D010388|A01.923.600
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D013796|C05.116.099.343.110.500	C05.116.099.708.017.500	C05.660.585.984	C16.131.621.585.984	C16.320.240.500.500	C16.614.890
D005269|A02.835.232.043.650.247
