D011928|C14.907.617.812
D013684|C14.907.823
D017675|C06.405.117.119.500.204	C14.907.617.812.500	C14.907.823.225	C17.300.799.801.500	C17.800.784.801.500	C18.452.174.130.204
D011884|A02.835.232.087.090.700
D014457|A02.835.232.087.090.850
D044342|C18.654.521
D017675|C06.405.117.119.500.204	C14.907.617.812.500	C14.907.823.225	C17.300.799.801.500	C17.800.784.801.500	C18.452.174.130.204
D008589|C01.252.400.625.549
D013262|C07.465.864.500	C17.800.174.600.900	C17.800.229.400.683	C17.800.865.475.683	C20.543.206.380.900	C25.100.468.380.900
D008589|C01.252.400.625.549
D008581|C10.228.614
D008581|C10.228.614
D008585|C01.252.200.500.550	C01.252.400.625.549.449	C10.228.228.180.500.750	C10.228.614.280.505
D008589|C01.252.400.625.549
D017511|C17.800.695.675	C17.800.862.675	C17.800.893.675
D008589|C01.252.400.625.549
