D012137|A04
D002923|A11.284.180.165
D054468|A11.284.430.214.190.750.602.309
D002923|A11.284.180.165
D052816|A05.360.444.492.362
D002923|A11.284.180.165
D007619|C08.127.384.500	C08.200.531	C08.695.501	C09.150.531	C14.240.400.280.500	C14.280.400.280.500	C16.131.077.245.500.531	C16.131.240.400.280.500	C16.131.740.501	C16.131.810.250.500	C16.320.184.500.531	C16.320.480
D013094|A05.360.490.890	A11.497.760
D002923|A11.284.180.165
D007619|C08.127.384.500	C08.200.531	C08.695.501	C09.150.531	C14.240.400.280.500	C14.280.400.280.500	C16.131.077.245.500.531	C16.131.240.400.280.500	C16.131.740.501	C16.131.810.250.500	C16.320.184.500.531	C16.320.480
D012852|C08.460.692.752	C08.730.749	C09.603.692.752
D009298|C08.460.572	C09.603.557	C23.300.825.557
