D002875|A11.284.187	A11.284.430.106.279.345.190
D001848|C05.116.099
D005598|C26.404.374
D000302|A06.300.071.140
D050723|C26.404
D056305|C05.116.511
D010291|C10.597.636	C23.888.592.643
D001284|C23.300.070
D012509|C04.557.450.795
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D012516|C04.557.450.565.575.650	C04.557.450.795.620
D004194|C23.550.288
D009336|C23.550.717
D018483|A02.835.232.169
D010000|C05.116.680
D011230|C04.834
D000313|A06.300.071.265
D005354|C04.557.450.565.590.350	C04.557.450.795.350
D001859|C04.588.149	C05.116.231
D003643|C23.550.260
D009362|C04.697.650	C23.550.727.650
D005354|C04.557.450.565.590.350	C04.557.450.795.350
D007238|C23.550.513.355	C23.550.717.489
D003643|C23.550.260
D006331|C14.280
D004194|C23.550.288
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D005354|C04.557.450.565.590.350	C04.557.450.795.350
D009369|C04
D009369|C04
D010009|C05.116.099.708	C16.320.728
D000302|A06.300.071.140
D010022|C05.116.099.708.702.678
D050723|C26.404
D014947|C26
D012509|C04.557.450.795
D035002|A01.378.610
D000313|A06.300.071.265
D018483|A02.835.232.169
D007238|C23.550.513.355	C23.550.717.489
D000313|A06.300.071.265
D012598|C23.550.823
D035002|A01.378.610
D034941|A01.378.800
D003643|C23.550.260
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D004194|C23.550.288
D007238|C23.550.513.355	C23.550.717.489
D001842|A02.835.232	A10.165.265
D009135|C05.651	C10.668.491
D004194|C23.550.288
D050723|C26.404
D009135|C05.651	C10.668.491
D050723|C26.404
D050723|C26.404
D007867|A02.835.232.043.650
D010019|C01.539.160.495	C05.116.165.495
D012598|C23.550.823
D010001|C05.116.692
D001778|C15.378.100
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D013577|C23.550.288.500
D002869|C23.550.210
D009369|C04
D012509|C04.557.450.795
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D009369|C04
D001859|C04.588.149	C05.116.231
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D025063|C16.131.260	C16.320.180
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D044967|A12.207.152.846	A15.145.846
D012516|C04.557.450.565.575.650	C04.557.450.795.620
D001851|C05.116.198	C18.452.104
D010019|C01.539.160.495	C05.116.165.495
D012598|C23.550.823
D056305|C05.116.511
D009135|C05.651	C10.668.491
D051677|C04.557.450.565.590.425.360	C04.557.450.795.400
D012516|C04.557.450.565.575.650	C04.557.450.795.620
D005354|C04.557.450.565.590.350	C04.557.450.795.350
D050723|C26.404
D009135|C05.651	C10.668.491
