D002875|A11.284.187	A11.284.430.106.279.345.190
D001848|C05.116.099
D058627|C05.660.207.536	C10.500.507.400.249	C16.131.621.207.532	C16.131.666.507.400.249
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D012598|C23.550.823
D012886|A02.835.232.781
D010388|A01.923.600
D012540|A02.835.232.087.783
D004194|C23.550.288
D005333|A16.378
D015576|C05.116.540
D006321|A07.541
D007422|A03.556.124
D014564|C12.706	C13.351.875	C16.131.939
D005147|A02.835.232.781.324
D003391|A08.800.800.120
D003638|C09.218.458.341.186	C10.597.751.418.341.186	C23.888.592.763.393.341.186
D005489|C05.116.099.370.380	C16.131.077.350.424	C16.131.831.350.424	C16.320.322.186	C16.320.850.250.424	C17.800.804.350.424	C17.800.827.250.424
D005489|C05.116.099.370.380	C16.131.077.350.424	C16.131.831.350.424	C16.320.322.186	C16.320.850.250.424	C17.800.804.350.424	C17.800.827.250.424
D012816|C23.888
D004194|C23.550.288
D001847|C05.116
D057896|C23.888.885.800
D006972|C05.116.099.370.231.480	C05.660.207.231.480	C16.131.621.207.231.480
D016136|C10.500.680.800.750	C16.131.666.680.800.750
D006314|C09.218.458.341.562	C10.597.751.418.341.562	C23.888.592.763.393.341.562
D000022|C13.703.039
D003643|C23.550.260
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D012886|A02.835.232.781
D002972|C05.500.460.185	C05.660.207.540.460.185	C07.320.440.185	C07.465.525.185	C07.650.500.460.185	C07.650.525.185	C16.131.621.207.540.460.185	C16.131.850.500.460.185	C16.131.850.525.185
D003025|C05.330.488.655.063	C05.330.495.681.063	C05.660.585.512.380.813.063	C16.131.621.585.512.500.681.063
D005385|A01.378.800.667.430
D012598|C23.550.823
D008334|A02.835.232.781.324.502.632	A14.521.632
D008437|A02.835.232.781.324.502.645	A14.521.645
D012871|C17.800
