D002875|A11.284.187	A11.284.430.106.279.345.190
D015877|C10.597.690.362	C11.710.528	C23.888.592.708.362
D011680|A09.371.060.450.780	A09.371.894.513.780
D004194|C23.550.288
D005901|C11.525.381
D015877|C10.597.690.362	C11.710.528	C23.888.592.708.362
D009216|C11.744.636
D005901|C11.525.381
D007498|A09.371.060.450	A09.371.894.513
D007498|A09.371.060.450	A09.371.894.513
D014092|A14.549.167.900.750
D002924|A09.371.060.160	A09.371.894.280
D015877|C10.597.690.362	C11.710.528	C23.888.592.708.362
D014129|A09.371.060.932
D005109|A11.284.295.310
D000071556|A10.165.265.414
D001485|A10.272.220	A10.615.179
D005109|A11.284.295.310
D005355|C23.550.355
D011680|A09.371.060.450.780	A09.371.894.513.780
D005901|C11.525.381
D003643|C23.550.260
D009755|C11.966.671
D005654|A09.371.729.313
D015877|C10.597.690.362	C11.710.528	C23.888.592.708.362
D007498|A09.371.060.450	A09.371.894.513
D002386|C11.510.245
D007498|A09.371.060.450	A09.371.894.513
D007498|A09.371.060.450	A09.371.894.513
D009132|A02.633	A10.690
D002477|A11
D057866|A09.371.061
D000013|C16.131
D007498|A09.371.060.450	A09.371.894.513
D004194|C23.550.288
D002872|C23.550.210.050.500.500
D002503|A11.284.430.106.279.345.190.160.165
D016615|A11.284.430.106.279.345.190.160.845
D013623|A13.895
D004194|C23.550.288
D009130|A02.633.570	A10.690.467
D057130|C11.270.516	C11.768.364
D005123|A01.456.505.420	A09.371
D006871|C11.250.480	C11.525.381.407.480	C16.131.384.480	C16.614.438
D005901|C11.525.381
D015877|C10.597.690.362	C11.710.528	C23.888.592.708.362
D009216|C11.744.636
D005901|C11.525.381
D001485|A10.272.220	A10.615.179
D005109|A11.284.295.310
