D002875|A11.284.187	A11.284.430.106.279.345.190
D008607|C10.597.606.360	C23.888.592.604.646
D001259|C10.597.350.090	C23.888.592.350.090
D008607|C10.597.606.360	C23.888.592.604.646
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D012640|C10.597.742	C23.888.592.742
D005334|C23.888.119.344
D005121|A01.378
D012640|C10.597.742	C23.888.592.742
D013226|C10.597.742.785	C23.888.592.742.785
D001145|C14.280.067	C23.550.073
D012640|C10.597.742	C23.888.592.742
D008607|C10.597.606.360	C23.888.592.604.646
D007805|C10.597.606.150.500.550	C23.888.592.604.150.500.550
D012600|C05.116.900.800.875
D001259|C10.597.350.090	C23.888.592.350.090
D001921|A08.186.211
D001284|C23.300.070
D065768|C10.228.140.490.493.750	C16.320.495
D001921|A08.186.211
D004827|C10.228.140.490
D004195|C22.232
D002540|A08.186.211.200.885.287.500
D009474|A08.675	A11.671
D009474|A08.675	A11.671
D002540|A08.186.211.200.885.287.500
D009474|A08.675	A11.671
D002540|A08.186.211.200.885.287.500
D012600|C05.116.900.800.875
D012640|C10.597.742	C23.888.592.742
D008607|C10.597.606.360	C23.888.592.604.646
D001259|C10.597.350.090	C23.888.592.350.090
D013226|C10.597.742.785	C23.888.592.742.785
